symbol,price,timestamp
NTRNTRY,18.87,1734011263.1838946
VICBTC,4.93e-06,1734011263.1838946
VICUSDT,0.4962,1734011263.1838946
VICTRY,17.48,1734011263.1995223
BLURBTC,3.65e-06,1734011263.201969
ETHUSDT,1934.23,1734011263.2045
BTCUSDT,34267.42,1734011263.205698
ADAUSDT,0.27,1734011263.207689
BNBUSDT,230.12,1734011263.209123
DOGEUSDT,0.0625,1734011263.210456
SOLUSDT,50.47,1734011263.211789
XRPUSDT,0.64,1734012263.212345
SHIBUSDT,1.2e-05,1734013263.213456
MATICUSDT,0.72,1734014263.214567
AVAXUSDT,13.45,1734015263.215678
ATOMUSDT,10.32,1734016263.216789
FTMUSDT,0.2,1734017263.21789
TRXUSDT,0.085,1734018263.218901
LTCUSDT,69.32,1734019263.219012
NEOUSDT,7.45,1734020263.220123
XMRUSDT,147.89,1734021263.221234
EOSUSDT,0.65,1734022263.222345
ZECUSDT,25.34,1734023263.223456
FILUSDT,3.12,1734024263.224567
SANDUSDT,0.38,1734025263.225678
MANAUSDT,0.36,1734026263.226789
GALAUSDT,0.015,1734027263.22789
APEUSDT,1.23,1734028263.228901
CHZUSDT,0.098,1734029263.229012
CRVUSDT,0.45,1734030263.230123
AAVEUSDT,59.78,1734031263.231234
UNIUSDT,4.87,1734032263.232345
DYDXUSDT,2.34,1734033263.233456
SNXUSDT,2.15,1734034263.234567
COMPUSDT,38.45,1734035263.235678
YFIUSDT,5854.32,1734036263.236789
BALUSDT,3.78,1734037263.23789
ALGOUSDT,0.1,1734038263.238901
FTTUSDT,1.02,1734039263.239012
KSMUSDT,19.23,1734040263.240123
DOTUSDT,4.1,1734041263.241234
RUNEUSDT,1.32,1734042263.242345
LDOUSDT,2.17,1734043263.243456
MKRUSDT,1347.32,1734044263.244567
STETHUSDT,1932.11,1734045263.245678
OPUSDT,1.45,1734046263.246789
IMXUSDT,0.85,1734047263.24789
GRTUSDT,0.086,1734048263.248901
QNTUSDT,98.54,1734049263.249012
ARUSDT,3.54,1734050263.250123
BATUSDT,0.18,1734051263.251234
CELRUSDT,0.014,1734052263.252345
ENJUSDT,0.23,1734053263.253456
STXUSDT,0.59,1734054263.254567
GNOUSDT,105.76,1734055263.255678
WAVESUSDT,1.21,1734056263.256789
ZILUSDT,0.017,1734057263.25789
FLUXUSDT,0.34,1734058263.258901
REQUSDT,0.071,1734059263.259012
ANKRUSDT,0.019,1734060263.260123
HOTUSDT,0.0015,1734061263.261234
CELOUSDT,0.44,1734062263.262345
KAVAUSDT,0.91,1734063263.263456
CTSIUSDT,0.18,1734064263.264567
DASHUSDT,27.89,1734065263.265678
RVNUSDT,0.012,1734066263.266789
TWTUSDT,0.83,1734067263.26789
CAKEUSDT,1.17,1734068263.268901
XECUSDT,2.5e-05,1734069263.269012
NTRNTRY,18.87,1734011263.1838946
NTRNTRY,18.91,1734012263.1838946
NTRNTRY,19.02,1734013263.1838946
VICBTC,4.93e-06,1734011263.1838946
VICBTC,4.96e-06,1734012263.1838946
VICBTC,5e-06,1734013263.1838946
VICUSDT,0.4962,1734011263.1838946
VICUSDT,0.4975,1734012263.1838946
VICUSDT,0.4991,1734013263.1838946
VICTRY,17.48,1734011263.1995223
VICTRY,17.52,1734012263.1995223
VICTRY,17.6,1734013263.1995223
BLURBTC,3.65e-06,1734011263.201969
BLURBTC,3.68e-06,1734012263.201969
BLURBTC,3.7e-06,1734013263.201969
ETHUSDT,1934.23,1734011263.2045
ETHUSDT,1935.67,1734012263.2045
ETHUSDT,1937.89,1734013263.2045
BTCUSDT,34267.42,1734011263.205698
BTCUSDT,34272.51,1734012263.205698
BTCUSDT,34278.03,1734013263.205698
ADAUSDT,0.27,1734011263.207689
ADAUSDT,0.271,1734012263.207689
ADAUSDT,0.273,1734013263.207689
BNBUSDT,230.12,1734011263.209123
BNBUSDT,230.56,1734012263.209123
BNBUSDT,231.04,1734013263.209123
DOGEUSDT,0.0625,1734011263.210456
DOGEUSDT,0.0627,1734012263.210456
DOGEUSDT,0.063,1734013263.210456
SOLUSDT,50.47,1734011263.211789
SOLUSDT,50.51,1734012263.211789
SOLUSDT,50.61,1734013263.211789
XRPUSDT,0.64,1734012263.212345
XRPUSDT,0.645,1734013263.212345
XRPUSDT,0.65,1734014263.212345
SHIBUSDT,1.2e-05,1734013263.213456
SHIBUSDT,1.3e-05,1734014263.213456
SHIBUSDT,1.4e-05,1734015263.213456
MATICUSDT,0.72,1734014263.214567
MATICUSDT,0.74,1734015263.214567
MATICUSDT,0.75,1734016263.214567
AVAXUSDT,13.45,1734015263.215678
AVAXUSDT,13.5,1734016263.215678
AVAXUSDT,13.65,1734017263.215678
ATOMUSDT,10.32,1734016263.216789
ATOMUSDT,10.36,1734017263.216789
ATOMUSDT,10.42,1734018263.216789
FTMUSDT,0.2,1734017263.21789
FTMUSDT,0.21,1734018263.21789
FTMUSDT,0.22,1734019263.21789
TRXUSDT,0.085,1734018263.218901
TRXUSDT,0.087,1734019263.218901
TRXUSDT,0.09,1734020263.218901
